"90","RELIEVE C.A.","1","FLA-1813-A","FLA-SPRAY METALIC GOLD","514","SPRAY","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-160-1","FLA-WALL SAT.SABILA","505","PINTURAS CAUCHOS","8" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-170-1","FLA-WALL SAT CHOCOLATE","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-2044P-1","FLA-WALL SATINADO MARFIL TRIGO","505","PINTURAS CAUCHOS","5" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-2495T-1","FLA-WALL SATINADO VERDE SUERTE","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-355-2502D-1","FLA-WALL SATINADO VERDE SUE¥O","505","PINTURAS CAUCHOS","11" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-4001-A","FLA-SPRAY L.A NEGRO BRILLANTE","514","SPRAY","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-4002-A","FLA-SPRAY L.A NEGRO MATE","514","SPRAY","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-497-724-1","EPOXI POLIAMIDA GRIS MEDIO","506","PINTURAS EPOXICOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-673-001-5","GRAFIADO BLANCO TEMPLO","505","PINTURAS CAUCHOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-673-041-5","GRAFIADO ROJO CAIRO","505","PINTURAS CAUCHOS","3" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-017-1","FLA-WALL MALVA","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-042-1","FLA-WALL ROSA SALVAJE","505","PINTURAS CAUCHOS","7" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-061-1","FLA WALL VERDE BAMBU","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-101-1","FLA-WALL BASE COLORES MEDIOS","505","PINTURAS CAUCHOS","4" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-11-1","FLA-WALL BLANCO","505","PINTURAS CAUCHOS","1" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-11-5","FLA-WALL BLANCO","505","PINTURAS CAUCHOS","2" 
101","LA TIENDA DEL PINTOR ANACO C.A.","3","FLA-70-12-1","FLA-WALL BLANCO OSTRA","505","PINTURAS CAUCHOS","7" 
